S.No,IMO Number,Vessel Name,Maker,Model,Make Type,Detail,Engine Type,Mark,Emission,Features,Injection,MAKE,MODEL
337,9708605,K. TAEAN,DOOSAN MAN B&W,5G70ME-C9.2-TII,MAN B&W,5G70,ME-C,9.2,TIER II,,,MAN BW,5G70::9.2
338,9718961,K. WESTERN DREAM,HYUNDAI MAN B&W,6S60ME-C8.2,MAN B&W,6S60,ME-C,8.2,,,,MAN BW,6S60::8.2
339,9708590,K. YOUNGHUNG,DOOSAN MAN B&W,5G70ME-C9.2 TIER II,MAN B&W,5G70,ME-C,9.2,TIER II,,,MAN BW,5G70::9.2
340,9495416,K.CONFIDENCE,MITSUI MAN B&W,6S70MC-C7.1,MAN B&W,6S70,MC-C,7.1,,,,MAN BW,6S70::7.1
341,9850123,K.PREMIUM ORE,HYUNDAI MAN B&W,7G80ME-C9.5-TII,MAN B&W,7G80,ME-C,9.5,TIER II,,,MAN BW,7G80::9.5
342,9514042,K.RUBY,WARTSILA CORP.,6RT-FLEX50,Others,,,,,,,Others,
343,9495404,K.VICTORY,MITSUI MAN B&W,6S70MC-C7.1,MAN B&W,6S70,MC-C,7.1,,,,MAN BW,6S70::7.1
344,9942653,KAMUI GALAXY,JAPAN ENGINE CORP.,6UEC42LSH-ECO-D3,Others,,,,,,,Others,
345,9950521,KATAGALAN ACE,MITSUI MAN B&W,7G50ME-C9.6-EGRBP,MAN B&W,7G50,ME-C,9.6,,EGRBP,,MAN BW,7G50::9.6
346,9950533,KATAGALAN BRAVE,MITSUI MAN B&W,7G50ME-C9.6-EGRBP,MAN B&W,7G50,ME-C,9.6,,EGRBP,,MAN BW,7G50::9.6
347,9433640,KEY JOURNEY,HITACHI MAN B&W,7S50MC-C,MAN B&W,7S50,MC-C,,,,,MAN BW,7S50
348,9829655,KIRKUK,DOOSAN MAN B&W,7G80ME-C MARK 9.5,MAN B&W,7G80,ME-C,9.5,,,,MAN BW,7G80::9.5
349,9683063,KMARIN REGARD,STX MAN B&W,6G60ME-C9.2,MAN B&W,6G60,ME-C,9.2,,,,MAN BW,6G60::9.2
350,9683051,KMARIN RESOLUTION,STX MAN B&W,6G60ME-C9.2,MAN B&W,6G60,ME-C,9.2,,,,MAN BW,6G60::9.2
351,9683037,KMARIN RESOURCE,STX MAN B&W,6G60ME-C9.2,MAN B&W,6G60,ME-C,9.2,,,,MAN BW,6G60::9.2
352,9683001,KMARIN RESPECT,STX MAN B&W,6G60ME-C9.2,MAN B&W,6G60,ME-C,9.2,,,,MAN BW,6G60::9.2
353,9683049,KMARIN RIGOUR,STX MAN B&W,6G60ME-C9.2,MAN B&W,6G60,ME-C,9.2,,,,MAN BW,6G60::9.2
354,9333280,KYRA,MITSUI MAN B&W,7S50MC-C,MAN B&W,7S50,MC-C,,,,,MAN BW,7S50
355,9913602,LADY AMANDA,DMD CO. LTD.,CSSC WIN GD 6X52 ISCR,Others,,,,,,,Others,
356,9310812,LADY OF DORIA,HITACHI MAN B&W,6S50ME-C,MAN B&W,6S50,ME-C,,,,,MAN BW,6S50
357,9463750,LAVENDER,STX MAN B&W,6S50MC-C,MAN B&W,6S50,MC-C,,,,,MAN BW,6S50
358,9589815,LILAC VICTORIA,MITSUI MAN B&W,6S60MC,MAN B&W,6S60,MC-C,,,,,MAN BW,6S60
359,9902859,LONE STAR MARINER,HYUNDAI MAN B&W,6G50ME-C9.5,MAN B&W,6G50,ME-C,9.5,,,,MAN BW,6G50::9.5
360,9731200,LOWLANDS BLUE,MITSUI MAN B&W,6G60ME-C9.5,MAN B&W,6G60,ME-C,9.5,,,,MAN BW,6G60::9.5
361,9789946,LOWLANDS DAWN,KAWASAKI MAN B&W,6S60ME-C MARK 8.2,MAN B&W,6S60,ME-C,8.2,,,,MAN BW,6S60::8.2
362,9799771,LOWLANDS FUTURE,KAWASAKI MAN B&W,6S50ME-B9.3,MAN B&W,6S50,ME-B,9.3,,,,MAN BW,6S50::9.3
363,9317559,LOWLANDS OPAL,KAWASAKI MAN B&W,6S50MC-C,MAN B&W,6S50,MC-C,,,,,MAN BW,6S50
364,9731212,LOWLANDS YELLOW,MITSUI MAN B&W,6G60ME-C9.5,MAN B&W,6G60,ME-C,9.5,,,,MAN BW,6G60::9.5
365,9669926,LVM AARON,HYUNDAI MAN B&W,,MAN B&W,,,,,,,MAN BW,
366,9694189,LVM WARRIOR,HYUNDAI MAN B&W,6G50ME-B MARK 9.3,MAN B&W,6G50,ME-B,9.3,,,,MAN BW,6G50::9.3
367,9928188,MAERSK ACADIA,CSSC MES MAN B&W,6G70ME-C10.5-HPSCR,MAN B&W,6G70,ME-C,10.5,,HPSCR,,MAN BW,6G70::10.5
368,9928190,MAERSK BISCAYNE,CSSC MES MAN B&W,6G70ME-C10.5-HPSCR,MAN B&W,6G70,ME-C,10.5,,HPSCR,,MAN BW,6G70::10.5
369,9502867,MAERSK EDIRNE,HYUNDAI WARTSILA,12RT-FLEX96C-B,Others,,,,,,,Others,
370,9964508,MAERSK EL ALTO,MITSUI MAN B&W,7G95ME-C10.5 EGRTC,MAN B&W,7G95,ME-C,10.5,,EGRTC,,MAN BW,7G95::10.5
371,9964493,MAERSK EL BANCO,MITSUI MAN B&W,7G95ME-C10.5 EGRTC,MAN B&W,7G95,ME-C,10.5,,EGRTC,,MAN BW,7G95::10.5
372,9964481,MAERSK EL PALOMAR,MITSUI MAN B&W,7G95ME-C10.5 EGRTC,MAN B&W,7G95,ME-C,10.5,,EGRTC,,MAN BW,7G95::10.5
373,9502910,MAERSK EMERALD,HYUNDAI WARTSILA,12RT-FLEX96C-B,Others,,,,,,,Others,
374,9501239,MAERSK EUREKA,HYUNDAI WARTSILA,12RT-FLEX96C-B,Others,,,,,,,Others,
375,9928205,MAERSK EVERGLADES,CSSC MES MAN B&W,6G70ME-C10.5-HPSCR,MAN B&W,6G70,ME-C,10.5,,HPSCR,,MAN BW,6G70::10.5
376,9928217,MAERSK GLACIER,CSSC MES MAN B&W,6G70ME-C10.5-HPSCR,MAN B&W,6G70,ME-C,10.5,,HPSCR,,MAN BW,6G70::10.5
377,9928229,MAERSK MAMMOTH,CSSC MES MAN B&W,6G70ME-C10.5-HPSCR,MAN B&W,6G70,ME-C,10.5,,HPSCR,,MAN BW,6G70::10.5
378,9943073,MAERSK OLYMPIC,CSSC MES MAN B&W,6G70ME-C10.5-HPSCR,MAN B&W,6G70,ME-C,10.5,,HPSCR,,MAN BW,6G70::10.5
379,9943085,MAERSK REDWOOD,CSSC MES MAN B&W,6G70ME-C10.5-HPSCR,MAN B&W,6G70,ME-C,10.5,,HPSCR,,MAN BW,6G70::10.5
380,9725706,MAERSK SALTORO,HYUNDAI MAN B&W,9S90ME-C,MAN B&W,9S90,ME-C,,,,,MAN BW,9S90
381,9943097,MAERSK SEQUOIA,CSSC MES MAN B&W,6G70ME-C10.5-HPSCR,MAN B&W,6G70,ME-C,10.5,,HPSCR,,MAN BW,6G70::10.5
382,9943114,MAERSK YELLOWSTONE,CSSC MES MAN B&W,6G70ME-C10.5-HPSCR,MAN B&W,6G70,ME-C,10.5,,HPSCR,,MAN BW,6G70::10.5
383,9943102,MAERSK YOSEMITE,CSSC MES MAN B&W,6G70ME-C10.5-HPSCR,MAN B&W,6G70,ME-C,10.5,,HPSCR,,MAN BW,6G70::10.5
384,9608867,MAGIC VICTORIA,MITSUI MAN B&W,6S60MC MARK 6,MAN B&W,6S60,MC-C,6,,,,MAN BW,6S60::6
385,9796573,MEGA BENEFIT,MITSUI MAN B&W,6S60ME-C8.2,MAN B&W,6S60,ME-C,8.2,,,,MAN BW,6S60::8.2
386,9865752,MERSEY,HYUNDAI MAN B&W,6G50ME-C9.5-HPSCR,MAN B&W,6G50,ME-C,9.5,,HPSCR,,MAN BW,6G50::9.5
387,9472098,MESK,,,,,,,,,,,
388,9399935,MICA,,,,,,,,,,,
389,9929871,MIRAI,CSSC MES MAN B&W,6G50ME-C9.6-LGIP-HPSCR,MAN B&W,6G50,ME-C,9.6,,HPSCR,LGIP,MAN BW,6G50::9.6
390,9282431,MOJO,HYUNDAI MAN B&W,6S70MC (MK 6),MAN B&W,6S70,MC-C,6,,,,MAN BW,6S70::6
391,9333840,MOL EARNEST,HYUNDAI MAN B&W,9K98MC-C,MAN B&W,9K98,MC-C,,,,,MAN BW,9K98
392,9333852,MOL ENDOWMENT,HYUNDAI MAN B&W,9K98MC-C (MK 6),MAN B&W,9K98,MC-C,6,,,,MAN BW,9K98::6
393,9444273,MOL PRESENCE,MITSUI MAN B&W,11K98MC,MAN B&W,11K98,MC,,,,,MAN BW,11K98
394,9403619,MOL PROFICIENCY,MITSUI MAN B&W,11K98MC,MAN B&W,11K98,MC,,,,,MAN BW,11K98
395,9610195,MOONBRIGHT SW,MITSUI MAN B&W,6S46MC-C,MAN B&W,6S46,MC-C,,,,,MAN BW,6S46
396,9520792,NALUHU,MITSUI MAN B&W,6S50MC-C,MAN B&W,6S50,MC-C,,,,,MAN BW,6S50
397,9546904,NATTY,,,,,,,,,,,
398,9379313,NAVE PULSAR,STX MAN B&W,6S60MC-C,MAN B&W,6S60,MC-C,,,,,MAN BW,6S60
399,9387683,NCC MAHA,HYUNDAI MAN B&W,6S50MC-C7,MAN B&W,6S50,MC-C,7,,,,MAN BW,6S50::7
400,9387671,NCC QAMAR,HYUNDAI MAN B&W,6S60MC-C,MAN B&W,6S60,MC-C,,,,,MAN BW,6S60
401,9610389,NEXUS VICTORIA,MITSUI MAN B&W,6S60MC MARK 6,MAN B&W,6S60,MC-C,6,,,,MAN BW,6S60::6
402,9805647,NORD COPPER,KAWASAKI MAN B&W,6S50ME-B9.5,MAN B&W,6S50,ME-B,9.5,,,,MAN BW,6S50::9.5
403,9536155,NORD ENERGY,HYUNDAI MAN B&W,6S70MC-C8,MAN B&W,6S70,MC-C,8,,,,MAN BW,6S70::8
404,9989297,NORD HOUSTON,CSSC MAN B&W,5S50ME-C9.7-HPSCR,MAN B&W,5S50,ME-C,9.7,,HPSCR,,MAN BW,5S50::9.7
405,9814167,NORD JEWEL,MITSUI MAN B&W,6S50ME-B9.5,MAN B&W,6S50,ME-B,9.5,,,,MAN BW,6S50::9.5
406,9814179,NORD JOY,MITSUI MAN B&W,6S50ME-B9.5,MAN B&W,6S50,ME-B,9.5,,,,MAN BW,6S50::9.5
407,9902835,NORD MAJESTIC,HYUNDAI MAN B&W,6G50ME-C9.6,MAN B&W,6G50,ME-C,9.6,,,,MAN BW,6G50::9.6
408,9941300,NORD MARINER,HYUNDAI MAN B&W,6G50ME-C9.6,MAN B&W,6G50,ME-C,9.6,,,,MAN BW,6G50::9.6
409,9941295,NORD MASTER,HYUNDAI MAN B&W,6G50ME-C9.6,MAN B&W,6G50,ME-C,9.6,,,,MAN BW,6G50::9.6
410,9687186,NORD PENGUIN,KAWASAKI MAN B&W,6S60ME-C8.2,MAN B&W,6S60,ME-C,8.2,,,,MAN BW,6S60::8.2
411,9537848,NORD POWER,HYUNDAI MAN B&W,6S70MC-C,MAN B&W,6S70,MC-C,,,,,MAN BW,6S70
412,9966233,NORD STEEL,MITSUI MAN B&W,7G60ME-C10.5-EGRBP,MAN B&W,7G60,ME-C,10.5,,EGRBP,,MAN BW,7G60::10.5
413,9982536,NORD VICTOR,HYUNDAI MAN B&W,6G50ME-C9.6,MAN B&W,6G50,ME-C,9.6,,,,MAN BW,6G50::9.6
414,9982550,NORD VIGNALE,HYUNDAI MAN B&W,6G50ME-C9.6,MAN B&W,6G50,ME-C,9.6,,,,MAN BW,6G50::9.6
415,9982524,NORD VULCAN,HYUNDAI MAN B&W,6G50ME-C9.6,MAN B&W,6G50,ME-C,9.6,,,,MAN BW,6G50::9.6
416,9796810,NORDIC COPENHAGEN,MAKITA MITSUI MAN B&W,6S46ME-B8.5,MAN B&W,6S46,ME-B,8.5,,,,MAN BW,6S46::8.5
417,9558402,NORDIC MARITA,MAKITA MITSUI MAN B&W,6S42MC MARK 6,MAN B&W,6S42,MC-C,6,,,,MAN BW,6S42::6
418,9967122,OCEAN CADENCE,HHM MAN B&W,6G50ME-C9.6 TIER III HPSCR,MAN B&W,6G50,ME-C,9.6,TIER III,HPSCR,,MAN BW,6G50::9.6
419,9967134,OCEAN DILIGENCE,HHM MAN B&W,6G50ME-C9.6 TIER III HPSCR,MAN B&W,6G50,ME-C,9.6,TIER III,HPSCR,,MAN BW,6G50::9.6
420,9529516,OCEAN GLSR,KAWASAKI MAN B&W,6S50ME-C8.2,MAN B&W,6S50,ME-C,8.2,,,,MAN BW,6S50::8.2
421,9712955,OCEAN PERA,MITSUI MAN B&W,6S50ME-B9.3 (MK 9),MAN B&W,6S50,ME-B,9.3,,,,MAN BW,6S50::9.3
422,9495038,OOCL BRAZIL,MITSUI MAN B&W,11K98MC-C,MAN B&W,11K98,MC-C,,,,,MAN BW,11K98
423,9567673,OOCL DURBAN,MITSUI MAN B&W,11K98MC-C,MAN B&W,11K98,MC-C,,,,,MAN BW,11K98
424,9804887,OPERA,,,,,,,,,,,
425,9803364,ORANGE VICTORIA,MITSUI MAN B&W,6G60ME-C9.5,MAN B&W,6G60,ME-C,9.5,,,,MAN BW,6G60::9.5
426,9984405,PAIWAN  ACE,MAKITA MAN B&W,6G45ME-C9.7 HPSCR,MAN B&W,6G45,ME-C,9.7,,HPSCR,,MAN BW,6G45::9.7
427,9427122,PAIWAN WISDOM,KOBE DIESEL MITSUBISHI CO. LTD.,6UEC45LSE,Others,,,,,,,Others,
428,9905423,PELICAN MARINER,HYUNDAI MAN B&W,6G50ME-C9.5,MAN B&W,6G50,ME-C,9.5,,,,MAN BW,6G50::9.5
429,9895317,PERTAMINA GAS AMARYLLIS,HYUNDAI MAN B&W,6G60ME-C9.5-LGIP-HPSCR,MAN B&W,6G60,ME-C,9.5,,HPSCR,LGIP,MAN BW,6G60::9.5
430,9850367,PHOENIX GAIA,KAWASAKI MAN B&W,7S60ME-C8.2,MAN B&W,7S60,ME-C,8.2,,,,MAN BW,7S60::8.2
431,9776250,PICO BASILE,MITSUI MAN B&W,7S50ME-B MARK 9.3,MAN B&W,7S50,ME-B,9.3,,,,MAN BW,7S50::9.3
432,9525211,PIS PROLIFIC,ZHENJIANG CME CO. LTD.,8L27/38,Others,,,,,,,Others,
433,9307140,PLANET PEARL,WARTSILA CORP.,6RTA58T,Others,,,,,,,Others,
434,9941271,PLATINUM JUBILEE,HYUNDAI MAN B&W,6G50ME-C9.6,MAN B&W,6G50,ME-C,9.6,,,,MAN BW,6G50::9.6
435,9519195,POAVOSA BRAVE,MAKITA MITSUI MAN B&W,6S42MC,MAN B&W,6S42,MC-C,,,,,MAN BW,6S42
436,9515644,POAVOSA WISDOM,,,,,,,,,,,
437,9580314,POAVOSA WISDOM III,MAKITA MITSUI MAN B&W,6S42MC (MK 6),MAN B&W,6S42,MC-C,6,,,,MAN BW,6S42::6
438,9905162,POINT LISAS,HYUNDAI MAN B&W,6G50ME-C9.6,MAN B&W,6G50,ME-C,9.6,,,,MAN BW,6G50::9.6
439,9982548,PRECIOUS ADELAIDE,HYUNDAI MAN B&W,6G50ME-C9.6,MAN B&W,6G50,ME-C,9.6,,,,MAN BW,6G50::9.6
440,9862413,PRO ONYX,HYUNDAI MAN B&W,6G50ME-C9.5,MAN B&W,6G50,ME-C,9.5,,,,MAN BW,6G50::9.5
441,9783904,PUSAKA BORNEO,MAN B&W,6G60ME-C MARK 9.5,MAN B&W,6G60,ME-C,9.5,,,,MAN BW,6G60::9.5
442,9367748,PVT VALENCIA,MITSUI MAN B&W,6S50MC MARK 6,MAN B&W,6S50,MC-C,6,,,,MAN BW,6S50::6
443,9902861,REDWOOD MARINER,HYUNDAI MAN B&W,6G50ME-C9.5,MAN B&W,6G50,ME-C,9.5,,,,MAN BW,6G50::9.5
444,9950284,RISHIRI GALAXY,JAPAN ENGINE CORP.,6UEC42LSH-ECO-D3,Others,,,,,,,Others,
445,9656400,SAKIZAYA ACE,MITSUI MAN B&W,7S50MC-C8.1,MAN B&W,7S50,MC-C,8.1,,,,MAN BW,7S50::8.1
446,9680360,SAKIZAYA CHAMPION,MITSUI MAN B&W,6S60ME-C8.2,MAN B&W,6S60,ME-C,8.2,,,,MAN BW,6S60::8.2
447,9749893,SAKIZAYA JUSTICE,HITACHI MAN B&W,6S60ME-C8.2,MAN B&W,6S60,ME-C,8.2,,,,MAN BW,6S60::8.2
448,9783150,SAKIZAYA RESPECT,MITSUI MAN B&W,6S60ME-C8.2,MAN B&W,6S60,ME-C,8.2,,,,MAN BW,6S60::8.2
449,9892676,SAKIZAYA UNICORN,MITSUI MAN B&W,6S60ME-C8.5 EGRBP,MAN B&W,6S60,ME-C,8.5,,EGRBP,,MAN BW,6S60::8.5
450,9934917,SAKIZAYA XCEL,MITSUI MAN B&W,6S60ME-C8.5 EGRBP,MAN B&W,6S60,ME-C,8.5,,EGRBP,,MAN BW,6S60::8.5
451,9330783,SAKURA SHUCHI,MAKITA MITSUI MAN B&W,6S42MC (MK 6),MAN B&W,6S42,MC-C,6,,,,MAN BW,6S42::6
452,9543079,SAKURA SPIRIT,STX MAN B&W,6G50ME-B MARK 9.5,MAN B&W,6G50,ME-B,9.5,,,,MAN BW,6G50::9.5
453,9919151,SAKURA VOYAGER,HYUNDAI MAN B&W,6G50ME-C9.6,MAN B&W,6G50,ME-C,9.6,,,,MAN BW,6G50::9.6
454,9746059,SANGGAU,,,,,,,,,,,
455,9687693,SCARLET EAGLE,KAWASAKI MAN B&W,6S50MC-C7,MAN B&W,6S50,MC-C,7,,,,MAN BW,6S50::7
456,9877834,SDTR ALICE,CSIC - MAN B&W,6S60ME-C8.5-TIER III HP SCR,MAN B&W,6S60,ME-C,8.5,TIER III,HPSCR,,MAN BW,6S60::8.5
457,9877858,SDTR CELESTE,CSIC - MAN B&W,6S60ME-C8.5-TIER III HP SCR,MAN B&W,6S60,ME-C,8.5,TIER III,HPSCR,,MAN BW,6S60::8.5
458,9877860,SDTR DORIS,CSIC - MAN B&W,6S60ME-C8.5-TIER III HP SCR,MAN B&W,6S60,ME-C,8.5,TIER III,HPSCR,,MAN BW,6S60::8.5
459,9877872,SDTR ERICA,CSIC - MAN B&W,6S60ME-C8.5-TIER III HP SCR,MAN B&W,6S60,ME-C,8.5,TIER III,HPSCR,,MAN BW,6S60::8.5
460,9877884,SDTR FAITH,CSIC - MAN B&W,6S60ME-C8.5-TIER III HP SCR,MAN B&W,6S60,ME-C,8.5,TIER III,HPSCR,,MAN BW,6S60::8.5
461,9877896,SDTR GLORIA,CSSC MES MAN B&W,6S60ME-C8.5-TIER III HP SCR,MAN B&W,6S60,ME-C,8.5,TIER III,HPSCR,,MAN BW,6S60::8.5
462,9877901,SDTR HERA,CSIC - MAN B&W,6S60ME-C8.5-TIER III HP SCR,MAN B&W,6S60,ME-C,8.5,TIER III,HPSCR,,MAN BW,6S60::8.5
463,9956886,SEASON TRADER,CMD MAN B&W,6S60ME-C10.5,MAN B&W,6S60,ME-C,10.5,,,,MAN BW,6S60::10.5
464,9859234,SEVERN,STX HEAVY INDUSTRIES CO. LTD.,6G50ME-C9.6,MAN B&W,6G50,ME-C,9.6,,,,MAN BW,6G50::9.6
465,9748784,SHANDONG FU REN,QMD MAN B&W,6S60ME-C8.2,MAN B&W,6S60,ME-C,8.2,,,,MAN BW,6S60::8.2
466,9748813,SHANDONG FU XIN,QMD MAN B&W,6S60ME-C8.2,MAN B&W,6S60,ME-C,8.2,,,,MAN BW,6S60::8.2
467,9748801,SHANDONG FU YI,QMD MAN B&W,6S60ME-C8.2,MAN B&W,6S60,ME-C,8.2,,,,MAN BW,6S60::8.2
468,9433860,SINAR MINAHASA,HANSHIN DIESEL WORKS LTD.,6S35MC,MAN B&W,6S35,MC-C,,,,,MAN BW,6S35
469,9783930,SOUTHERN LEADER,MITSUI MAN B&W,6G60ME-C9.5,MAN B&W,6G60,ME-C,9.5,,,,MAN BW,6G60::9.5
470,9783916,SOUTHERN REVERENCE,MAN B&W,6G60ME-C MARK 9.5,MAN B&W,6G60,ME-C,9.5,,,,MAN BW,6G60::9.5
471,9815458,STAR RIVER,HHM WARTSILA,5RT-FLEX50D,Others,,,,,,,Others,
472,9934888,STENA CONDUCTOR,HYUNDAI MAN B&W,6G50ME-C9.6,MAN B&W,6G50,ME-C,9.6,,,,MAN BW,6G50::9.6
473,9543110,STENA CONVOY,HYUNDAI MAN B&W,6G50ME-C9.6,MAN B&W,6G50,ME-C,9.6,,,,MAN BW,6G50::9.6
474,9937581,SUCCESS TRADER,CSSC MES MAN B&W,6G70ME-C10.5-HPSCR,MAN B&W,6G70,ME-C,10.5,,HPSCR,,MAN BW,6G70::10.5
475,9984170,SW LEGEND,MITSUI MAN B&W,6S50ME-C9.7 EGRBP,MAN B&W,6S50,ME-C,9.7,,EGRBP,,MAN BW,6S50::9.7
476,9920069,TAKAO GALAXY,JAPAN ENGINE CORP.,6UEC42LSH-ECO-D3,Others,,,,,,,Others,
477,9338577,TAOKAS WISDOM,,,,,,,,,,,
478,9737503,TEXAS TRIUMPH,MITSUI MAN B&W,11S90ME-C10.5,MAN B&W,11S90,ME-C,10.5,,,,MAN BW,11S90::10.5
479,9543081,TRAMMO CORNELL,STX MAN B&W,6G50ME-B MARK 9.5,MAN B&W,6G50,ME-B,9.5,,,,MAN BW,6G50::9.5
480,9409168,TRAMMO MARYCAM,HYUNDAI MAN B&W,,MAN B&W,,,,,,,MAN BW,
481,9792515,TRAMMO PARIS,HYUNDAI MAN B&W,6G45ME-C MARK 9.5,MAN B&W,6G45,ME-C,9.5,,,,MAN BW,6G45::9.5
482,9550216,TRANSFORMER OL,MAKITA MITSUI MAN B&W,6S42MC (MARK VI),MAN B&W,6S42,MC-C,6,,,,MAN BW,6S42::6
483,9403528,TRUE CHAMPION,HYUNDAI MAN B&W,6S70ME-C7,MAN B&W,6S70,ME-C,7,,,,MAN BW,6S70::7
484,9778430,TRUE CONRAD,CSSC MES DIESEL CO. LTD.,6G70ME-C (Mark 9.2),MAN B&W,6G70,ME-C,9.2,,,,MAN BW,6G70::9.2
485,9778416,TRUE NEPTUNE,CSSC MES DIESEL CO. LTD.,6G70ME-C (Mark 9.2),MAN B&W,6G70,ME-C,9.2,,,,MAN BW,6G70::9.2
486,9860192,TRUST GALAXY,HITACHI MAN B&W,6S40ME-B9.3,MAN B&W,6S40,ME-B,9.3,,,,MAN BW,6S40::9.3
487,9796834,TSUKUBA GALAXY,MAKITA MITSUI MAN B&W,6S46ME-B MARK 8.5,MAN B&W,6S46,ME-B,8.5,,,,MAN BW,6S46::8.5
488,9875501,TSURUGI GALAXY,MAKITA MITSUI MAN B&W,6S46ME-B MARK 8.5,MAN B&W,6S46,ME-B,8.5,,,,MAN BW,6S46::8.5
489,9865740,TWEED,HYUNDAI MAN B&W,6G50ME-C9.5-HPSCR,MAN B&W,6G50,ME-C,9.5,,HPSCR,,MAN BW,6G50::9.5
490,9973353,WHITE ALLEGRA,CSSC MES MAN B&W,6S40ME-C9.7-HPSCR,MAN B&W,6S40,ME-C,9.7,,HPSCR,,MAN BW,6S40::9.7
491,9799111,WHITE HORSE,HHM MAN B&W,6S35ME-B9.5,MAN B&W,6S35,ME-B,9.5,,,,MAN BW,6S35::9.5
492,9917957,WHITE PEARL,HHM WARTSILA,5RT-FLEX50D,Others,,,,,,,Others,
493,9799109,WHITE STAR,HHM MAN B&W,6S35ME-B9.5,MAN B&W,6S35,ME-B,9.5,,,,MAN BW,6S35::9.5
494,9858852,WISCO ADVENTURE,MITSUI MAN B&W,6S50ME-B MARK 9.5,MAN B&W,6S50,ME-B,9.5,,,,MAN BW,6S50::9.5
495,9875214,WORLD DIANA,MITSUI MAN B&W,6S50ME-C8.5,MAN B&W,6S50,ME-C,8.5,,,,MAN BW,6S50::8.5
496,9860403,WORLD PRIZE,MITSUI MAN B&W,6S50ME-C9.5,MAN B&W,6S50,ME-C,9.5,,,,MAN BW,6S50::9.5
497,9860398,WORLD RUBY,MITSUI MAN B&W,6S50ME-C9.5,MAN B&W,6S50,ME-C,9.5,,,,MAN BW,6S50::9.5
498,9860374,WORLD VIRTUE,MITSUI MAN B&W,6S50ME-C9.5,MAN B&W,6S50,ME-C,9.5,,,,MAN BW,6S50::9.5
499,9954967,XIN XIANG SEA,CSSC MAN B&W,6G50ME.C9.6,MAN B&W,6G50,ME-C,9.6,,,,MAN BW,6G50::9.6
500,9954993,XIN ZHENG SEA,CSSC MAN B&W,6G50ME.C9.6,MAN B&W,6G50,ME-C,9.6,,,,MAN BW,6G50::9.6
501,9955014,XIN ZHI SEA,CSSC MAN B&W,6G50ME.C9.6,MAN B&W,6G50,ME-C,9.6,,,,MAN BW,6G50::9.6
502,9963138,YEOSU VOYAGER,HYUNDAI MAN B&W,7S60ME-C10.5,MAN B&W,7S60,ME-C,10.5,,,,MAN BW,7S60::10.5
